Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,,
cat520,Milk and milk products excluding cheese, ,,,ml,"2,090","2,107","2,051","1,976","1,974","2,012","2,038","1,995","2,051","1,947","1,786","1,925",,
4006,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",,,ml,728,679,713,544,472,563,476,412,472,355,349,350,,
501,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",School milk (d),,ml,,,,,,,,,,,,,,
601,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",Welfare milk(i),,ml,17,16,16,15,12,11,17,3,9,,,,,
4,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare","Liquid wholemilk, full price",,ml,711,663,697,529,460,552,460,409,463,355,349,350,,
402,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",,UHT milk,ml,6,2,10,6,1,2,2,9,2,2,0,0,,
403,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",,Sterilised,ml,14,10,0,0,0,0,0,0,0,0,0,4,,
404,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",,Pasteurised/ homogenised,ml,690,650,687,524,459,549,458,400,461,353,349,346,,
9017,Milk and milk products excluding cheese,Other milk and cream,,,ml,"1,362","1,428","1,337","1,432","1,502","1,449","1,562","1,583","1,579","1,592","1,437","1,575",,
15,Milk and milk products excluding cheese,Other milk and cream,Skimmed milks,,ml,"1,090","1,073","1,039","1,067","1,167","1,093","1,188","1,206","1,209","1,189","1,098","1,197",,
1502,Milk and milk products excluding cheese,Other milk and cream,,Fully skimmed milk,ml,115,97,72,104,109,111,108,146,138,115,149,95,,
1503,Milk and milk products excluding cheese,Other milk and cream,,Semi-skimmed milk,ml,975,976,967,963,"1,058",982,"1,081","1,060","1,071","1,074",950,"1,102",,
901,Milk and milk products excluding cheese,Other milk and cream,Condensed or evaporated milk,,eq ml,14,12,17,19,12,12,16,14,10,22,14,9,,
11,Milk and milk products excluding cheese,Other milk and cream,Infant milks,,eq ml,31,71,28,28,22,57,57,51,43,55,58,45,,
1102,Milk and milk products excluding cheese,Other milk and cream,,Infant or baby milks - ready to drink,eq ml,0,0,1,2,2,1,3,3,10,6,4,2,,
1103,Milk and milk products excluding cheese,Other milk and cream,,Infant or baby milks - dried,eq ml,31,71,27,25,20,56,54,48,33,48,54,43,,
1201,Milk and milk products excluding cheese,Other milk and cream,Instant dried milk,,eq ml,0,7,5,6,4,6,9,1,1,0,7,4,,
13,Milk and milk products excluding cheese,Other milk and cream,Yoghurt and fromage frais,,ml,137,167,149,195,190,189,186,202,201,219,164,204,,
1301,Milk and milk products excluding cheese,Other milk and cream,,Yoghurt,ml,122,146,132,170,174,166,166,182,181,202,147,185,,
1302,Milk and milk products excluding cheese,Other milk and cream,,Fromage frais,ml,15,21,18,24,17,23,20,20,20,18,17,19,,
16,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,,ml,73,79,81,95,84,68,81,88,89,80,70,91,,
1603,Milk and milk products excluding cheese,Other milk and cream,,Dairy desserts - not frozen,ml,43,41,43,50,44,39,43,46,43,40,45,50,,
1605,Milk and milk products excluding cheese,Other milk and cream,,Dried milk products,ml,4,16,6,6,8,0,0,0,2,1,0,0,,
1607,Milk and milk products excluding cheese,Other milk and cream,,Milk drinks and other milks (e),ml,0,0,0,25,15,17,27,23,28,18,15,28,,
1608,Milk and milk products excluding cheese,Other milk and cream,,Non-dairy milk substitutes (e),ml,,,,14,17,12,10,18,17,22,10,13,,
1701,Milk and milk products excluding cheese,Other milk and cream,Cream,,ml,18,19,18,23,22,24,25,21,25,25,26,25,,
22023,Cheese, ,,,g,108,111,103,112,107,101,118,112,116,124,107,102,,
22,Cheese,Natural cheese,,,g,91,92,83,93,92,86,102,97,105,107,95,91,,
2201,Cheese,Natural cheese,Hard cheese - cheddar type,,g,63,65,58,61,63,60,68,61,72,69,65,59,,
2202,Cheese,Natural cheese,Hard cheese - other uk or foreign equivalent,,g,8,7,7,10,8,5,9,10,6,7,5,4,,
2203,Cheese,Natural cheese,Hard cheese - edam or other foreign,,g,6,7,6,8,7,6,8,6,8,11,6,9,,
2205,Cheese,Natural cheese,Cottage cheese,,g,3,3,3,3,4,2,2,5,3,3,2,2,,
2206,Cheese,Natural cheese,Soft natural cheese,,g,10,10,9,12,10,13,16,15,16,18,17,18,,
2301,Cheese,Processed cheese,,,g,18,19,20,19,16,15,15,15,12,17,12,10,,
31041,Carcase meat, ,,,g,206,212,202,191,188,192,225,183,173,182,205,177,,
31,Carcase meat,Beef and veal,,,g,135,140,142,134,130,137,129,119,122,122,152,123,,
3102,Carcase meat,Beef and veal,Beef joints - on the bone,,g,2,2,0,0,0,1,1,2,1,1,0,2,,
3103,Carcase meat,Beef and veal,Beef joints - boned,,g,25,26,26,18,21,24,24,19,16,15,18,22,,
3104,Carcase meat,Beef and veal,Beef steak - less expensive,,g,15,15,16,16,22,22,13,10,19,15,25,20,,
3105,Carcase meat,Beef and veal,Beef steak - more expensive,,g,30,27,33,36,30,24,30,25,27,24,30,20,,
3106,Carcase meat,Beef and veal,Minced beef,,g,60,69,67,64,55,64,61,63,59,67,78,59,,
3107,Carcase meat,Beef and veal,All other beef and veal,,g,3,1,1,1,0,1,0,0,1,0,0,0,,
36,Carcase meat,Mutton and lamb,,,g,22,25,22,18,22,25,50,18,19,19,15,14,,
3601,Carcase meat,Mutton and lamb,Mutton,,g,0,0,0,0,0,2,0,0,0,0,0,0,,
3602,Carcase meat,Mutton and lamb,Lamb joints,,g,10,12,9,5,11,8,39,7,6,9,7,8,,
3603,Carcase meat,Mutton and lamb,Lamb chops,,g,7,10,10,11,6,9,9,10,9,6,5,5,,
3604,Carcase meat,Mutton and lamb,All other lamb,,g,5,3,3,3,5,7,2,1,3,4,3,1,,
41,Carcase meat,Pork,,,g,49,47,38,39,36,30,45,46,32,41,38,40,,
4101,Carcase meat,Pork,Pork joints,,g,12,11,12,10,7,6,12,12,9,12,9,11,,
4102,Carcase meat,Pork,Pork chops,,g,18,17,9,11,9,10,11,17,7,7,7,7,,
4103,Carcase meat,Pork,Pork fillets and steaks,,g,16,18,10,13,11,9,17,8,9,12,16,14,,
4104,Carcase meat,Pork,All other pork,,g,2,1,7,5,8,6,6,9,6,10,5,7,,
46095,Non-carcase meat and meat products, ,,,g,854,840,858,850,849,830,846,807,844,846,823,891,,
