Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo100,"Indian, Chinese or Thai food", ,,,g,22,29,29,33,30,29,34,31,28,31,30,28
eo1001,"Indian, Chinese or Thai food",Indian,,,g,13,15,14,15,14,14,17,15,14,15,16,15
eo100101,"Indian, Chinese or Thai food",Indian,,Meat or fish-based curry with sauce,g,9,9,9,8,8,8,7,9,8,8,8,8
eo100102,"Indian, Chinese or Thai food",Indian,,Meat or fish-based curry without sauce,g,1,1,1,1,1,0,0,1,1,1,1,1
eo100103,"Indian, Chinese or Thai food",Indian,,Vegetable or fruit-based curry,g,1,1,1,1,1,0,1,1,1,1,1,1
eo100104,"Indian, Chinese or Thai food",Indian,,Dhal and dhal dishes,g,0,0,0,0,0,0,0,0,0,0,0,0
eo100105,"Indian, Chinese or Thai food",Indian,,Samosas,g,0,0,0,0,0,0,0,0,0,0,0,0
eo100106,"Indian, Chinese or Thai food",Indian,,Other Indian dishes,g,0,0,1,1,0,0,0,0,0,1,0,0
eo100107,"Indian, Chinese or Thai food",Indian,,Indian breads,g,1,1,1,1,1,1,1,1,1,1,1,1
eo100108,"Indian, Chinese or Thai food",Indian,,Indian buffet or shared meal or unspecified indian meal,g,0,2,2,3,2,3,6,3,3,3,5,3
eo1002,"Indian, Chinese or Thai food",Chinese,,,g,9,14,13,16,15,14,15,15,12,14,12,12
eo100201,"Indian, Chinese or Thai food",Chinese,,Chinese or Thai meat or fish-based dishes excluding curry,g,6,6,6,6,6,5,5,5,5,5,3,4
eo100202,"Indian, Chinese or Thai food",Chinese,,Chop suey and fu yung dishes,g,0,0,0,0,0,0,0,0,0,0,0,0
eo100203,"Indian, Chinese or Thai food",Chinese,,Chinese or Thai vegetable-based main course dishes excluding curry,g,1,1,1,0,0,1,1,1,0,0,0,0
eo100204,"Indian, Chinese or Thai food",Chinese,,Chinese or Thai curry,g,1,1,1,1,1,1,1,1,1,1,1,1
eo100205,"Indian, Chinese or Thai food",Chinese,,Spring rolls,g,0,0,0,0,0,0,0,0,0,0,0,0
eo100206,"Indian, Chinese or Thai food",Chinese,,Other Chinese or Thai dishes,g,2,1,0,1,1,1,0,0,0,0,0,1
eo100207,"Indian, Chinese or Thai food",Chinese,,Chinese or Thai buffet or shared meal or unspecified Chinese or Thai meal,g,0,4,6,7,7,7,8,8,6,7,7,5
eo1003,"Indian, Chinese or Thai food",All other ethnic meals,,,g,0,1,1,2,1,1,2,2,1,2,2,2
eo110,Meat and meat products, ,,,g,94,95,97,91,86,81,77,78,76,75,75,76
eo1101,Meat and meat products,Carcase meat,,,g,14,15,15,15,14,14,14,14,14,13,14,13
eo110101,Meat and meat products,Carcase meat,,"Steak - without sauce (e.g. braised, sirloin)",g,3,4,4,4,4,4,3,3,3,3,3,3
eo110102,Meat and meat products,Carcase meat,,Roast meat with sauce or gravy,g,5,5,5,5,5,5,5,5,5,5,5,5
eo110103,Meat and meat products,Carcase meat,,Pork chops with sauce or gravy,g,0,0,0,0,0,0,0,0,0,0,0,0
eo110104,Meat and meat products,Carcase meat,,Lamb chops with sauce or gravy,g,0,0,0,0,0,0,0,0,0,0,0,0
eo110105,Meat and meat products,Carcase meat,,Spare ribs,g,0,1,1,1,0,0,0,0,1,0,1,0
eo110106,Meat and meat products,Carcase meat,,Bacon,g,3,3,3,3,3,3,3,3,3,2,3,2
eo110107,Meat and meat products,Carcase meat,,Gammon or ham,g,2,2,2,2,2,2,1,2,2,2,2,2
eo110108,Meat and meat products,Carcase meat,,"All offal including liver, kidney, tongue",g,0,0,0,0,0,0,0,0,0,0,0,0
eo1102,Meat and meat products,Poultry,,,g,15,15,15,15,14,14,13,14,14,15,15,17
eo110201,Meat and meat products,Poultry,,Chicken or turkey with sauce or gravy,g,9,9,9,9,10,10,9,9,9,10,10,11
eo110202,Meat and meat products,Poultry,,Chicken or turkey in breadcrumbs or batter,g,5,5,5,5,4,4,3,4,4,4,4,4
eo110203,Meat and meat products,Poultry,,Duck with sauce or gravy,g,1,1,1,1,1,1,0,0,1,1,0,1
eo110204,Meat and meat products,Poultry,,Game with sauce or gravy,g,0,0,0,0,0,0,0,0,0,0,0,0
eo1103,Meat and meat products,Burgers,,,g,25,24,23,20,19,18,16,17,16,16,16,16
eo110301,Meat and meat products,Burgers,,Small or single burgers,g,9,8,8,7,7,6,5,6,5,6,6,6
eo110302,Meat and meat products,Burgers,,Large or double burgers,g,10,11,10,8,9,8,8,8,7,7,7,6
eo110303,Meat and meat products,Burgers,,Chicken burger,g,6,5,5,5,4,4,3,3,3,3,4,4
eo1104,Meat and meat products,Sausages and kebabs,,,g,17,17,20,17,17,15,15,13,13,13,13,13
eo110401,Meat and meat products,Sausages and kebabs,,Kebabs - all types including chicken,g,4,4,4,4,5,4,4,3,3,4,3,4
eo110402,Meat and meat products,Sausages and kebabs,,"Plain sausages (e.g. beef, pork)",g,8,8,9,8,7,7,7,7,7,6,6,5
eo110403,Meat and meat products,Sausages and kebabs,,Other sausages,g,0,0,0,0,0,0,0,0,0,0,0,0
eo110404,Meat and meat products,Sausages and kebabs,,Hot dogs and sausage sandwiches,g,5,5,6,6,4,4,4,3,4,3,4,4
eo1105,Meat and meat products,Meat pies and sausage rolls,,,g,14,15,16,15,13,13,12,11,11,11,10,10
eo110501,Meat and meat products,Meat pies and sausage rolls,,Meat pies (pastry topped) and pasties,g,11,11,12,10,10,10,9,8,8,8,7,7
eo110502,Meat and meat products,Meat pies and sausage rolls,,Meat pies (potato topped e.g. shepherd's pie),g,1,1,1,2,1,1,1,1,1,1,1,1
eo110503,Meat and meat products,Meat pies and sausage rolls,,Sausage roll (pastry),g,3,3,3,3,2,2,2,2,2,2,2,2
eo1106,Meat and meat products,Casseroles,,,g,8,7,7,7,7,6,6,7,6,6,6,6
eo110601,Meat and meat products,Casseroles,,"Meat and vegetable stews, casseroles or hotpots",g,1,1,1,1,1,1,1,1,1,1,1,1
eo110602,Meat and meat products,Casseroles,,"Chicken or turkey stews, casseroles or hotpots",g,1,0,0,0,0,0,0,0,0,0,0,0
eo110603,Meat and meat products,Casseroles,,"Meat lasagne, cannelloni, moussaka and other meat-based oven baked dishes",g,6,6,5,5,5,5,5,5,4,5,5,4
eo1107,Meat and meat products,Pate,,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo1108,Meat and meat products,Other meat and meat products,,,g,1,1,1,1,1,1,1,1,1,1,1,2
eo120,Fish and fish products, ,,,g,15,14,14,14,14,14,13,13,14,14,13,14
eo1201,Fish and fish products,White fish,,,g,9,9,8,8,9,9,8,8,8,8,8,8
eo120101,Fish and fish products,White fish,,"White fish - grilled, steamed, baked or boiled - without sauce",g,2,1,1,1,1,1,1,1,1,1,1,1
eo120102,Fish and fish products,White fish,,White fish - fried (incl in batter/breadcrumbs) - without sauce,g,8,7,7,7,8,8,7,7,7,7,7,7
eo1202,Fish and fish products,Fatty fish,,,g,1,1,1,1,1,1,1,1,1,1,1,1
eo120201,Fish and fish products,Fatty fish,,"Trout, tuna and salmon only - fresh - without sauce or dressing",g,1,1,1,1,1,1,1,1,1,1,1,1
eo120202,Fish and fish products,Fatty fish,,"Other fatty fish - without sauce or dressing (e.g. herring, mackerel, sardines)",g,0,0,0,0,0,0,0,0,0,0,0,0
eo120301,Fish and fish products,"Shellfish - without sauce or dressing (e.g. prawns, shrimps, oysters, crab)",,,g,1,1,1,1,1,1,1,1,1,1,1,1
eo120401,Fish and fish products,Kippers and other smoked fish (e.g. smoked salmon),,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo120501,Fish and fish products,"Other fish products and unspecified 'fish' (e.g. squid, sushi, crabsticks)",,,g,1,0,1,1,0,1,1,0,1,1,1,2
eo1206,Fish and fish products,Processed fish,,,g,3,3,3,3,4,3,3,3,3,3,3,2
eo120601,Fish and fish products,Processed fish,,"Fish, processed, in breadcrumbs (fish fingers, fish cakes, scampi) - without sauce or dressing",g,2,2,2,2,2,2,1,1,2,1,1,1
eo120602,Fish and fish products,Processed fish,,Fish burgers (in bun),g,0,0,0,0,0,0,0,0,0,0,0,0
eo120603,Fish and fish products,Processed fish,,"Fish based pie or other dish (e.g. paella, kedgeree, tuna pasta bake)",g,1,1,1,1,1,1,1,1,1,1,1,1
eo130,Cheese and egg dishes or pizza, ,,,g,25,26,26,25,23,23,22,23,21,22,22,21
eo1301,Cheese and egg dishes or pizza,Cheese,,,g,3,4,3,3,3,3,3,3,2,2,2,2
eo130101,Cheese and egg dishes or pizza,Cheese,,Cottage cheese including with pineapple,g,0,0,0,0,0,0,0,0,0,0,0,0
eo130102,Cheese and egg dishes or pizza,Cheese,,"Soft, continental or processed cheese (e.g. brie)",g,0,0,0,0,0,0,0,0,0,0,0,0
eo130103,Cheese and egg dishes or pizza,Cheese,,"Cheddar, blue or other hard cheese and unspecified 'cheese'",g,1,1,1,1,1,1,1,1,0,0,0,1
eo130104,Cheese and egg dishes or pizza,Cheese,,Quiche and cheese pies or pasties,g,2,2,2,2,2,2,1,1,1,1,1,1
eo130105,Cheese and egg dishes or pizza,Cheese,,"Other cheese dishes (e.g. Welsh rarebit, cheese and biscuits)",g,0,0,0,0,0,0,0,0,0,0,0,0
eo1302,Cheese and egg dishes or pizza,Pizza,,,g,13,13,13,13,11,12,11,12,11,13,12,11
eo130201,Cheese and egg dishes or pizza,Pizza,,"Pizza - cheese and tomato, vegetable or unspecified 'pizza'",g,9,10,10,10,9,9,8,9,8,8,9,8
eo130202,Cheese and egg dishes or pizza,Pizza,,"Pizza - meat, fish or poultry",g,4,3,3,3,2,2,3,3,3,4,3,3
eo1303,Cheese and egg dishes or pizza,Eggs,,,g,9,9,10,9,8,8,8,8,8,7,7,7
eo130301,Cheese and egg dishes or pizza,Eggs,,Eggs - boiled or poached,g,0,0,0,0,0,0,0,0,0,0,0,0
eo130302,Cheese and egg dishes or pizza,Eggs,,"Eggs - scrambled, fried, omelettes or unspecified 'egg'",g,9,9,10,8,8,8,8,8,7,7,7,7
eo130303,Cheese and egg dishes or pizza,Eggs,,Other egg dishes (e.g. egg mayonnaise),g,0,0,0,0,0,0,0,0,0,0,0,0
