Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo100,"Indian, Chinese or Thai food", ,,,g,23,28,26,18,23,25,18,22,21,33,27,19
eo1001,"Indian, Chinese or Thai food",Indian,,,g,16,14,19,10,17,15,10,13,10,20,16,11
eo100101,"Indian, Chinese or Thai food",Indian,,Meat or fish based curry with sauce,g,12,10,16,7,12,9,5,9,7,11,7,8
eo100102,"Indian, Chinese or Thai food",Indian,,Meat or fish based curry without sauce,g,1,0,1,0,2,0,0,1,0,2,1,0
eo100103,"Indian, Chinese or Thai food",Indian,,Vegetable or fruit based curry,g,1,1,1,0,2,1,2,0,0,0,0,1
eo100104,"Indian, Chinese or Thai food",Indian,,Dhal and dhal dishes,g,0,0,0,0,0,0,0,0,0,0,0,0
eo100105,"Indian, Chinese or Thai food",Indian,,Samosas,g,0,0,0,0,0,0,0,0,0,0,0,0
eo100106,"Indian, Chinese or Thai food",Indian,,Other Indian dishes,g,0,0,0,0,0,0,0,0,0,0,1,0
eo100107,"Indian, Chinese or Thai food",Indian,,Indian breads,g,1,1,1,0,2,1,1,2,1,0,2,0
eo100108,"Indian, Chinese or Thai food",Indian,,Indian buffet or shared meal or unspecified indian meal,g,0,2,0,1,1,3,3,2,3,6,5,3
eo1002,"Indian, Chinese or Thai food",Chinese,,,g,7,14,7,8,5,10,7,9,10,11,10,7
eo100201,"Indian, Chinese or Thai food",Chinese,,Chinese or Thai meat or fish based dishes excluding curry,g,3,6,4,2,3,2,2,3,3,3,4,3
eo100202,"Indian, Chinese or Thai food",Chinese,,Chop suey and fu yung dishes,g,0,0,0,0,0,1,0,0,1,0,0,0
eo100203,"Indian, Chinese or Thai food",Chinese,,Chinese or Thai vegetable based main course dishes excluding curry,g,1,1,0,0,0,0,0,1,0,0,0,0
eo100204,"Indian, Chinese or Thai food",Chinese,,Chinese or Thai curry,g,1,0,1,1,0,1,0,1,2,1,0,0
eo100205,"Indian, Chinese or Thai food",Chinese,,Spring rolls,g,0,0,0,0,0,0,0,0,0,0,0,0
eo100206,"Indian, Chinese or Thai food",Chinese,,Other Chinese or Thai dishes,g,2,1,0,0,0,0,0,0,0,1,0,0
eo100207,"Indian, Chinese or Thai food",Chinese,,Chinese or Thai buffet or shared meal or unspecified Chinese or Thai meal,g,0,6,2,5,2,6,5,4,5,6,5,4
eo1003,"Indian, Chinese or Thai food",All other ethnic meals,,,g,0,0,0,1,0,0,1,0,1,2,1,1
eo110,Meat and meat products, ,,,g,113,99,112,104,114,93,73,67,78,84,78,70
eo1101,Meat and meat products,Carcase meat,,,g,18,18,20,17,21,16,12,14,17,19,17,15
eo110101,Meat and meat products,Carcase meat,,"Steak - without sauce e.g. braised, sirloin",g,5,5,6,6,6,4,3,5,3,5,3,4
eo110102,Meat and meat products,Carcase meat,,Roast meat with sauce or gravy,g,5,7,5,5,9,5,4,4,8,8,7,6
eo110103,Meat and meat products,Carcase meat,,Pork chops with sauce or gravy,g,0,0,0,1,0,0,1,0,0,0,1,0
eo110104,Meat and meat products,Carcase meat,,Lamb chops with sauce or gravy,g,0,0,0,0,0,0,0,0,0,0,0,0
eo110105,Meat and meat products,Carcase meat,,Spare ribs,g,0,1,0,0,0,0,0,0,0,0,1,0
eo110106,Meat and meat products,Carcase meat,,Bacon,g,4,3,5,3,3,3,2,3,4,3,3,2
eo110107,Meat and meat products,Carcase meat,,Gammon or ham,g,2,1,2,2,2,3,1,2,2,2,2,2
eo110108,Meat and meat products,Carcase meat,,"All offal including liver, kidney, tongue",g,0,0,0,0,0,0,0,0,0,0,0,0
eo1102,Meat and meat products,Poultry,,,g,16,13,15,13,19,17,12,15,14,16,18,12
eo110201,Meat and meat products,Poultry,,Chicken or turkey with sauce or gravy,g,10,7,10,8,13,12,10,8,11,9,9,8
eo110202,Meat and meat products,Poultry,,Chicken or turkey in breadcrumbs or batter,g,6,5,5,4,6,4,2,7,3,5,9,3
eo110203,Meat and meat products,Poultry,,Duck with sauce or gravy,g,0,1,0,1,0,0,0,0,0,1,0,0
eo110204,Meat and meat products,Poultry,,Game with sauce or gravy,g,0,0,0,0,0,0,0,0,0,0,0,0
eo1103,Meat and meat products,Burgers,,,g,25,24,25,20,22,15,21,10,13,15,14,15
eo110301,Meat and meat products,Burgers,,Small or single burgers,g,10,7,11,6,8,5,5,3,5,5,7,6
eo110302,Meat and meat products,Burgers,,Large or double burgers,g,10,9,10,8,9,7,12,6,5,7,6,5
eo110303,Meat and meat products,Burgers,,Chicken burger,g,6,7,4,6,5,3,4,1,2,3,1,3
eo1104,Meat and meat products,Sausages and kebabs,,,g,19,16,25,20,18,18,10,11,19,12,13,12
eo110401,Meat and meat products,Sausages and kebabs,,Kebabs - all types including chicken,g,3,4,6,5,4,5,3,2,6,2,1,2
eo110402,Meat and meat products,Sausages and kebabs,,"Plain sausages e.g. beef, pork",g,13,8,13,10,11,10,4,8,11,7,9,6
eo110403,Meat and meat products,Sausages and kebabs,,Other sausages,g,0,1,0,0,0,0,0,0,1,1,0,0
eo110404,Meat and meat products,Sausages and kebabs,,Hot dogs and sausage sandwiches,g,3,3,6,5,3,3,3,1,1,2,2,4
eo1105,Meat and meat products,Meat pies and sausage rolls,,,g,24,21,20,26,23,19,13,11,12,14,11,10
eo110501,Meat and meat products,Meat pies and sausage rolls,,Meat pies (pastry topped) and pasties,g,21,18,18,23,20,15,10,10,10,10,8,8
eo110502,Meat and meat products,Meat pies and sausage rolls,,Meat pies (potato topped e.g. shepherd's pie),g,1,1,1,1,1,1,1,1,0,2,1,0
eo110503,Meat and meat products,Meat pies and sausage rolls,,Sausage roll (pastry),g,2,2,2,2,2,2,2,1,1,2,2,2
eo1106,Meat and meat products,Casseroles,,,g,9,6,4,6,10,8,4,5,2,7,4,6
eo110601,Meat and meat products,Casseroles,,"Meat and vegetable stews, casseroles or hotpots",g,1,1,1,1,1,0,0,0,1,0,1,1
eo110602,Meat and meat products,Casseroles,,"Chicken or turkey stews, casseroles or hotpots",g,1,1,0,1,0,0,0,0,0,0,0,0
eo110603,Meat and meat products,Casseroles,,"Meat lasagne, cannelloni, moussaka and other meat-based oven baked dishes",g,7,5,3,4,9,8,4,4,2,6,3,5
