Code,Description,Sub-Description,,,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,RSE indicator(a),% change since 2009,sig(b),trend since 2009(c)
cat520,Milk and milk products excluding cheese, ,,,ml,"2,182","2,119","2,195","2,148","2,110","2,196","1,968","2,168","2,150","1,941","2,017","2,052",Ù,-5,,
4006,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",,,ml,789,649,758,787,637,570,507,532,484,565,301,301,_,-38,yes,m
501,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",School milk (d),,ml,,,,,,,,,,,,,,,,
601,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",Welfare milk(i),,ml,9,12,13,16,23,15,14,5,10,,,,,,,
4,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare","Liquid wholemilk, full price",,ml,780,637,745,771,614,555,493,526,473,565,301,301,_,-36,yes,m
402,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",,UHT milk,ml,0,0,1,0,0,6,0,6,2,0,0,0,_,-100,,
403,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",,Sterilised,ml,6,9,1,1,0,0,0,0,0,0,0,0,_, , , 
404,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",,Pasteurised/ homogenised,ml,774,628,742,770,614,549,493,520,471,565,301,301,_,-36,yes,m
9017,Milk and milk products excluding cheese,Other milk and cream,,,ml,"1,393","1,470","1,437","1,362","1,473","1,625","1,461","1,636","1,667","1,377","1,717","1,751",Ù,5,,
15,Milk and milk products excluding cheese,Other milk and cream,Skimmed milks,,ml,"1,145","1,200","1,132","1,077","1,132","1,273","1,109","1,251","1,314","1,043","1,373","1,415",Ù,8,,
1502,Milk and milk products excluding cheese,Other milk and cream,,Fully skimmed milk,ml,75,43,54,62,52,80,113,81,85,54,62,79,_,-7,,
1503,Milk and milk products excluding cheese,Other milk and cream,,Semi-skimmed milk,ml,"1,070","1,157","1,079","1,015","1,080","1,193",996,"1,170","1,229",989,"1,312","1,336",Ù,9,,
901,Milk and milk products excluding cheese,Other milk and cream,Condensed or evaporated milk,,eq ml,6,4,4,2,12,9,6,6,6,6,1,9,_,44,,
11,Milk and milk products excluding cheese,Other milk and cream,Infant milks,,eq ml,46,54,55,37,67,49,73,77,70,32,53,53,_,-24,,
1102,Milk and milk products excluding cheese,Other milk and cream,,Infant or baby milks - ready to drink,eq ml,4,1,2,6,3,4,5,7,2,2,13,11,_,339,,
1103,Milk and milk products excluding cheese,Other milk and cream,,Infant or baby milks - dried,eq ml,43,53,53,31,64,45,69,69,67,30,40,43,_,-37,,
1201,Milk and milk products excluding cheese,Other milk and cream,Instant dried milk,,eq ml,1,3,3,3,1,3,1,1,0,0,0,0,_, , , 
13,Milk and milk products excluding cheese,Other milk and cream,Yoghurt and fromage frais,,ml,128,136,159,155,181,192,194,211,194,201,215,185,,-5,,
1301,Milk and milk products excluding cheese,Other milk and cream,,Yoghurt,ml,110,115,135,128,159,171,175,190,173,174,203,158,,-8,,
1302,Milk and milk products excluding cheese,Other milk and cream,,Fromage frais,ml,18,21,24,27,23,21,19,21,21,27,12,26,_,22,,
16,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,,ml,54,64,73,75,67,83,63,76,66,79,57,67,,1,,
1603,Milk and milk products excluding cheese,Other milk and cream,,Dairy desserts - not frozen,ml,31,35,40,36,32,37,31,40,40,49,23,34,,-14,,
1605,Milk and milk products excluding cheese,Other milk and cream,,Dried milk products,ml,0,2,3,1,2,5,0,0,2,0,0,8,_,241,,
1607,Milk and milk products excluding cheese,Other milk and cream,,Milk drinks and other milks (e),ml,25,38,37,26,15,28,25,18,17,8,17,16,_,-6,,
1608,Milk and milk products excluding cheese,Other milk and cream,,Non-dairy milk substitutes (e),ml,,,,13,17,13,7,18,8,22,17,9,_,20,,
1701,Milk and milk products excluding cheese,Other milk and cream,Cream,,ml,12,10,12,12,12,16,14,15,16,15,18,23,,43,,
22023,Cheese, ,,,g,75,70,80,73,80,86,85,88,93,88,90,110,Ù,19,yes,k
