Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,RSE indicator(a),% change since 2009,sig(b),trend since 2009(c)
cat520,Milk and milk products excluding cheese, ,,,ml,"1,963","2,122","2,034","2,126","2,112","2,079","2,106","2,115","2,261","1,940","2,178","2,043",ŸŸ,-10,,
4006,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",,,ml,655,663,610,503,474,566,515,510,457,322,381,267,,-41,yes,
501,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",School milk (d),,ml,,,,,,,,,,,,,,,,
601,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",Welfare milk(i),,ml,13,27,40,20,5,17,12,6,4,,,,,,,
4,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare","Liquid wholemilk, full price",,ml,642,636,571,483,470,548,503,503,452,322,381,267,,-41,yes,
402,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",,UHT milk,ml,0,4,22,32,5,7,10,36,14,10,0,0,ž,-100,,
403,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",,Sterilised,ml,14,11,0,0,0,0,0,0,0,0,0,0,ž, , , 
404,Milk and milk products excluding cheese,"Liquid wholemilk, including school and welfare",,Pasteurised/ homogenised,ml,628,621,549,451,465,541,494,467,438,312,381,267,,-39,yes,
9017,Milk and milk products excluding cheese,Other milk and cream,,,ml,"1,308","1,458","1,424","1,623","1,638","1,514","1,591","1,605","1,804","1,618","1,797","1,776",Ÿ,-2,,
15,Milk and milk products excluding cheese,Other milk and cream,Skimmed milks,,ml,"1,002","1,151","1,095","1,290","1,317","1,208","1,193","1,140","1,317","1,224","1,394","1,363",Ÿ,+4,,
1502,Milk and milk products excluding cheese,Other milk and cream,,Fully skimmed milk,ml,196,189,141,167,178,146,181,177,199,168,145,184,ž,-8,,
1503,Milk and milk products excluding cheese,Other milk and cream,,Semi-skimmed milk,ml,806,962,954,"1,123","1,139","1,062","1,012",963,"1,117","1,057","1,249","1,179",Ÿ,+5,,
901,Milk and milk products excluding cheese,Other milk and cream,Condensed or evaporated milk,,eq ml,18,20,18,15,21,15,20,17,14,15,14,17,ž,+20,,
11,Milk and milk products excluding cheese,Other milk and cream,Infant milks,,eq ml,35,16,39,49,12,11,38,75,162,79,75,62,ž,-61,,
